question,answer
Onde o novo Corpilhas Marítimo do Sul Wales fez o porto durante a viagem?,Rio de Janeiro
Qual é a unidade política básica dos Kichwas da Amazônia?,ayllu.
De onde vem a água do rio brasileiro?,oceano Atlântico
Quem é o tabernáculo da altura na Bíblia,Aholibamah.
qual estado dos EUA tem a maior população de árvores caatingas,Texas.
Os Sanumá são um povo indígena de qual país,Brasil
De onde vem a planta portal?,a costa atlântica do Brasil
quem habitou o Amazonas antes de Columbus,Povos Seminomádicos
Quem gerencia os projetos de conservação da arara de Lear,Instituto Brasileiro de Meio Ambiente e Recursos Naturais Renováveis
Qual é a principal causa de mudanças na composição da floresta amazônica?,Desmatamento
TeleMEZONAS transmite de Quito para a qual outra cidade,Guayaquil.
Abacaxis River é um rio em que país,Brasil
Em que estado do Brasil é a Floresta Nacional do Trairão,Pára
De onde vem a água do rio Pantanal?,Rio Paraguai
De onde veio o prêmio Nobel para a descoberta da doença de Chagas,Brasil
Qual é o nome comum do manatee amazônico?,Trichechus inunguuis.
Que montanha fez Raleigh ver em El Dorado,Monte Roraima.
O que significa o rio Doce no Brasil?,o rio doce
Onde o sonho de Tora San acontece,"Shibamata, Tóquio"
Onde o Brasil treinou para as Olimpíadas de Inverno 2018,Lago Placid
O rio Tocantins é um afluente do que,o rio Amazonas
Quem Nino Schembri treina no Brasil,Casa Preta
Qual foi o assunto do ecocrítico do filme usado para,Desmatamento amazônico
Quantos turistas brasileiros visitam o Beach Park a cada ano,quase um milhão
Quantos judeus amazônicos vieram a Israel no início do século 21,Algumas centenas
Quem é dono da ilha de Villegagnon no Rio de Julio,Marinha brasileira
Qual é a principal razão para a queda no investimento em pesquisa no Brasil,Desaceleração econômica
Quantas espécies de mamíferos são encontradas no Cerrado,Onze
Quando foi a comissão brasileira de energia nuclear estabelecida,10 de outubro de 1956.
Onde morava o bagre da cauda barrada no Brasil?,A bacia do rio Araguaia superior
onde detonutas passou por hiato,Amazonas.
De onde os brasileiros foram para o mar?,Rio de Janeiro
Onde os Huaorani e Waos vivem?,Região Amazônica do Equador
em que estado mexicano é a praia da Bahia de Tembo,"Oaxaca, México"
Quantos estados estão localizados na costa do Brasil,26.
Por que o Brasil tem que passar por racionamento de energia?,seca
Quando o imperador Tamarins floresce nas terras baixas amazônicas,T.
Quem pesquisou o arquipélago de Abrolhos da Bahia,Barão Roussin.
Onde foi a primeira conferência da Amazônia realizada em 1992,Rio de Janeiro
Onde está o capitão Pantoja e o conjunto de serviços especiais,Departamento Peruano da Amazonas
Monte Brasil é flanqueado por duas baías.A Baía de Angra é,Baía de Fanal.
Quantos estados existem na região de Amazonas?,nove
Quando a construção começou na estrada amazônica?,1970.
"em qual ilha brasileira, o Banco Real estabelecer seu primeiro ramo",Fernando de Noronha
onde o pequeno tinamou faturado vive,América do Sul da Amazônia.
Onde o Camamu Bay classifica no Brasil?,terceiro maior
Qual é o nome do cabo submarino que conecta Angola e o Brasil,Sistema de cabo do Sul Atlântico
Qual cidade está situada na costa ocidental da Baía de Guanabara,Rio de Janeiro
onde é o nativo de gaveteiro pernas rosa para,a Mata Atlântica.
Raposa Serra do Sol é um território indígena de qual país,Brasil
Onde o explorador Diogo Dias vai em terra,Brasil
Em qual país o pássaro varzea piculet endêmico,Brasil
A Estação Ecológica Juréia-Itatins é a melhor preservada e maior,Mata Atlântica
Quantos sub-regiões de Pantanal existem no Brasil,12.
Qual é a faixa de altura nos Andes da Amazônia?,2 a 3.000 metros
O Parintintin é um povo indígena de qual país,Brasil
O que o manatee amazônico precisa funcionar,Mudanças na circulação periférica
Quantas pessoas não contadas vivem no Amazonas,16.
Quantos milhões de brasileiros vivem no rio São Francisco,12.
Onde o Brasil se classifica entre a população ucraniana nas Américas?,terceiro maior
Quando os animais políticos saíram no Brasil?,22 de agosto de 2014
Quantos eleitores existem no Amazonas?,2.428.098.
Quando Yoddecha Sitiesodtong começou a treinar no brasileiro,2006.
onde estava o trem de metrô Chennai feito,Brasil
Qual rio flui para a Bacia do Paraná na América do Sul,Rio de Paraná
Qual é o efeito dos distúrbios humanos na floresta atlântica?,uma crise de extinção
O programa Brazilian Reality TV é a 12ª temporada de,Dança dos Famosos
quanta capacidade o duque energia tem no Brasil,2.307 megawatts.
O que as pessoas no respeito da região do Amazonas,A antiga permanece
onde está a Amazonas Filarmonic Base,Manaus.
Há quanto tempo o aquífero Guarani pode fornecer água fresca para o mundo,200 anos
Qual país tem a maior parte do rio Amazonas agora,Brasil
Qual é o Parque Nacional Brasileiro que faz parte do corredor multinacional de biodiversidade?,Parque Nacional de Iguaçu
onde é o blackbird unicolored encontrado na América do Sul,Brasil
onde é a estação de trem central do brasil,Distrito de estacio.
Quando o Huerto Cerrado acontece,1960.
A falha da Bahia Solano corre ao longo da costa do Pacífico de,Colômbia
que tipo de índice de clima faz parana tem,chuvoso
Mosqueiro é uma ilha em que estado brasileiro,Pára
onde a Air Bahia voaria em San Diego,Long Beach
Pico das Agulhas Negras é a montanha mais alta em que país,Brasil
Que porcentagem da chuva no Brasil cai durante o inverno,Mais de 70%
Qual foi a lei amazônica pretendia promover,reflorestamento
A ilha de Noronhomys é em que país sul-americano,Brasil
O que foi o Plettenberg Bay originalmente nomeado,Bahia Formosa.
Onde está o projeto do laterite do Onça Puma Níquel localizado,"Estado do Pará, Brasil"
O rio Canumã é um rio em que estado sul-americano,Amazonas.
Qual é o aquário em Selwo Marina?,'Amazônia'
O rio Cotingo é um tributário de qual estado,Estado de Roraima.
Onde a nova Amazônia é realizada no livro?,Inglaterra vitoriana
Quando foi maravilha mulher a cômica da Amazônia escrita,1997.
onde você pode comprar uma bahia esmeralda de,ebay.
Onde o maníaco do arco-íris matava no Brasil?,Paturis Park
O flutuador da Carley foi descoberto da costa de qual país em 1943,Brasil
Quantas espécies de répteis o Brasil,744.
onde estão as montanhas serra do mar localizadas,Sudeste do Brasil
Quão rápido é a floresta amazônica sendo esclarecida,duas vezes mais rápido
A floresta Tijuca no Rio de Janeiro é uma referência a que,Lagoa de Tijuca.
A Ilha de Trindade está fora da costa da qual país sul-americano,Brasil
Quantas linhas de limite existem na floresta atlântica?,Quatro.
onde é a misericórdia para animais localizados no mundo,Brasil
Quando foi formado o tambor marinho brasileiro e corps corpete,1822.
Qual é o trabalho de Rodrigo em Las Amazonas?,V.
De onde vem o pássaro de luto esverdeado,sul do Brasil
você é a única temporada da Brasil 2 atriz,Elisabetta.
qual é o nome do aqüífero no bioma cerrado,Aquífero guarani.
Onde a maioria dos ucranianos moram no Brasil?,Paraná.
Quando é a estação de crescimento do chá no Brasil?,Setembro a abril
"Em 1750, o governo brasileiro reconheceu a fronteira norte da Amazônia",Tratado de Madri
quanto das florestas restantes do planeta a floresta amazônica,mais da metade
Qual é o nó na maravilha mulher trindade,um nó de freio amazônico
O que é ameaçado por espécies invasoras no Brasil,animais selvagens
Em que estado do Brasil é o Parque Indígena do Xingu,Mato Grosso.
Quando foi descoberto o rio Hamza no Brasil?,2011.
Alto Rio Negro é um território indígena em que estado sul-americano,Amazonas.
Qual é o maior peixe do rio no Brasil?,Pirarucu.
quanto tempo roubou o ciclo Penn através da floresta amazônica,1.200 km.
Os zapara são indígenas nativos do que,floresta amazônica
Amazonas está localizada em que país do mundo,Brasil
Quantas partidas de grupo foram jogadas no Arena Pantanal,Quatro.
Quem é o autor do estudo sobre a taxa de desmatamento do Brasil,Daniel Nepstad.
O que detém os revestimentos púbicos das mulheres amazônicas das Américas,cordas
qual departamento da Bolívia é o mais chuvoso na floresta amazônica,Pando
Qual foi o nome da submarina do Oberon Classe Brasileira?,Tonelero.
A depressão Bodélé é uma importante fonte de poeira para o que,a floresta amazônica
Que clube de futebol brasileiro terminou os corredores - até Chelsea no 2012,Corinthians.
Qual é o nome da fórmula de endireitamento de cabelo feita de metanodiol,Progressiva
Quantos ucranianos vivem no Brasil em 2009,500.000.
O que foi usado no Brasil durante o século XX,Forragem animal.
O que afeta o cotidiano das tribos indígenas no Brasil,Desmatamento para mineração
Quando foi a primeira floresta nacional estabelecida no Brasil,1934.
O Movimento Amazônico Pop Art em Los Angeles foi inspirado por qual feira de TV,MTV.
Em que país é a floresta atlântica localizada,Brasil
Lobatus Goliath é um ferrupo de gastropod Mollusk encontrado em que país,Brasil
Qual estado do Brasil é dividido em duas zonas,Amazonas.
Qual é a árvore mais comum nas florestas secas do Atlântico do Brasil,Árvore Barriguda
Onde a Harpy Eagle vive na Argentina?,Florestas do Vale do Paraná
Que cortesia fica ao sul de Mato Grosso do Sul,Cordilheira Dodoquena
"""O romance"" ""Mar da Morte"" ""conta a história da encaixe de Salv",Bahia.
Qual é o nome do bioma da floresta amazônica,floresta amazônica
Quem descobriu Brasil oeste da Irlanda no Oceano Atlântico,Angelino dulcert.
O tanager brasileiro é um membro da família de aves,Thraupidae.
o que praias de areia cor estão em bustamante bahia,Branco
Praia da Mole em Florianópolis Brasil Quantos metros de comprimento,960.
Quem descobriu o Amazon Reef no Rio de Janeiro,Rodrigo Moura
Que porcentagem de espécies de peixes amazônicas são endêmicas à bacia amazônica,Cerca de 45%
Qual rio no estado de Tocantins faz o bloco da barragem hidrelétrica,Rio Tocantins.
Com que frequência os blocos unicoloridos voam no Brasil,em pares
Quando o Brasil ganhou os campeonatos do mundo do handebol da praia?,2014.
Qual é o maior ave no Brasil?,Rhea.
Onde 180 nações se reuniram em 1992 para considerar a adoção de um acordo sobre os princípios florestais,Rio de Janeiro
Qual é o nome da maior inundação tropical do Brasil,O pantanal
O parque estadual do Rio Doce protege o remanescente de qual floresta,Mata Atlântica
O rio Chandless no Brasil foi nomeado após quem,William Chandless.
Qual é a principal causa de diferenças na linguagem amazônica?,Contato de idioma.
Onde o médico vai nos olhos da floresta?,Brasil
Onde a cidade das bestas ocorre,floresta amazônica
Onde Horatio vai na 6ª temporada?,Brasil
Quantos homens vivem no estado amazônico,96.
onde foi o estudo de mimicraria feito,a floresta amazônica
Em que ano o Brasil classificou 10º em projetos de energia limpa entre G-20,2010.
"Qual é o nome da floresta tropical no Mesker Park, EUA",Amazônia
Qual é o processo de cortar árvores na floresta amazônica,Log seletivo
Quantos eleitores estão no Amazonas,2.428.098.
onde Westinghouse instalou a antena de rádio para o Brasil,a montanha de Corcovado.
Qual é o nome da telenovela em Las Amazonas?,Las Amazonas
onde está o corpo de combate a incêndios militares brasileiros,Estados da Federação
Quando a estação de crescimento do café do Brasil começa,Junho a setembro
Qual é o principal foco das políticas energéticas do Brasil?,melhorando a eficiência energética
Qual costa da Bahia é valença em,Costa Dendê.
Quem é o atual presidente da TeleMEZONAS,Rafael Correa
De onde se realizou a troca de clima de Chicago?,Brasil
Quem canta a música que o trem vai para o Brasil,Guillemots.
"Qual rio passa pelo Brasil, Paraguai e Argentina",Rio de Paraná
Qual foi o apelido do Brasil em 1982 Copa do Mundo,Auriverde.
Que nota o Brasil entrou no índice mundial de proteção animal,C.
Que esporte miguel jogou em Huerto Cerrado,futebol americano
Qual é a capital da floresta amazônica,Manaus.
Qual foi o nome do primeiro navio a visitar Ilha Rugged,Espirito Santo.
Onde a praia de praia se originou no México,Brasil
Qual canal é os animais políticos no Brasil,Sbt.
em que mês do ano o fluxo do rio Sergipe,agosto
O ETESB é uma das primeiras agências de proteção ambiental em que sul-americano,Brasil
De onde vive a borboleta pavão no Brasil?,o rio Branco
onde ocorre o log seletivo no mundo,floresta amazônica
O que o desmatamento no Brasil é liberado para a atmosfera,dióxido de carbono
Onde os beija-flor de safira chinned azul vivem no Brasil,A Bacia do Rio Amazonas
Quando Henry Walter Bates exploram a floresta amazônica,1848.
"Propoithecus é o maior macaco do novo mundo, encontrado em qual país",Brasil
onde é a safira bluechned encontrada no Brasil,A Bacia do Rio Amazonas
"Qual é o nome do site pré-histórico em Amapá State, Brasil,",Amazon Stonehenge
em que rio o governo brasileiro se recusou a ceder à demanda britânica,Rio Grande do Sul
Quando o Brasil masters jogou no Salt Lake Stadium?,dezembro 2012
O rio Japura passa pelo país sul-americano,Brasil
O Brasil não teve swaps de dívida por natureza devido a,desflorestamento rápido
O Massif Juraia é um dos mais bem preservados remanescentes de que floresta,Mata Atlântica
As montanhas Espinês estão em que país,Brasil
Qual é a única praia em Nordeste Brasil?,Praia de Tambaba.
De onde vive o cursow vermelho-faturado?,Floresta Atlântica de Lowland.
quantos são os fusos horários nas amazonas,dois
Quanto da floresta perdida no Brasil entre 1966 e 1975 foi atribuída ao gado,38%
Em que rio é missão la bahia localizada,Rio de San Antonio.
Quem era o imperador brasileiro que visitou a floresta Tijuca,P.
Qual é o nome da cidade no Brasil ao lado da floresta amazônica,Manaus.
